,LONGITUDE,LATITUDE,MUN_NAME,WARD_NAME
8152,-79.5572319055,43.6248472728,Etobicoke,Etobicoke-Lakeshore
193045,-79.3948332918,43.7019271833,former Toronto,Toronto-St. Paul's
438967,-79.3258519526,43.8112328703,Scarborough,Scarborough-Agincourt
456246,-79.2748903625,43.8218801706,Scarborough,Scarborough North
313641,-79.3666911569,43.6983624272,East York,Don Valley West
136634,-79.337564571,43.74911771,North York,Don Valley East
395128,-79.340778604,43.7872874855,North York,Don Valley North
244796,-79.4248636658,43.7350994261,North York,Eglinton-Lawrence
173291,-79.439449708,43.7002351646,former Toronto,Eglinton-Lawrence
170443,-79.4324871388,43.6969314394,York,Toronto-St. Paul's
342659,-79.3118289606,43.7033340881,East York,Beaches-East York
330107,-79.3391644838,43.6909522366,East York,Toronto-Danforth
200093,-79.6043156343,43.7564218581,Etobicoke,Etobicoke North
382685,-79.3088798903,43.7306915295,North York,Don Valley East
369420,-79.3496197276,43.7032427889,East York,Don Valley West
306518,-79.3213413309,43.6689034869,former Toronto,Toronto-Danforth
268636,-79.4307913456,43.7929469677,North York,Willowdale
87975,-79.4983673817,43.6900324325,York,York South-Weston
357650,-79.2853208453,43.7066887401,Scarborough,Scarborough Southwest
366440,-79.3054816374,43.6941952692,East York,Beaches-East York
332293,-79.316669852,43.6809493355,former Toronto,Beaches-East York
99626,-79.4653132847,43.6882696587,York,York South-Weston
179827,-79.4041328115,43.6833345939,former Toronto,Toronto-St. Paul's
356051,-79.268989415,43.6951217867,Scarborough,Scarborough Southwest
222982,-79.49764127,43.7379886735,North York,York Centre
334044,-79.3220601833,43.6852838843,former Toronto,Beaches-East York
430998,-79.2903941296,43.7916930907,Scarborough,Scarborough-Agincourt
131232,-79.4339206347,43.6668982164,former Toronto,Davenport
242118,-79.4279630668,43.7280572569,North York,Eglinton-Lawrence
87965,-79.4948093751,43.6967035728,North York,York South-Weston
301402,-79.330882352,43.664166513,former Toronto,Toronto-Danforth
52061,-79.400200543,43.638588559,former Toronto,Spadina-Fort York
183977,-79.3964485003,43.6986938813,former Toronto,Toronto-St. Paul's
421205,-79.2356599815,43.7396675846,Scarborough,Scarborough Centre
63673,-79.495471902,43.6735566781,York,York South-Weston
475275,-79.2070943873,43.7731108354,Scarborough,Scarborough-Guildwood
402393,-79.3076127725,43.7801853972,Scarborough,Scarborough-Agincourt
154075,-79.4003565501,43.6716420556,former Toronto,University-Rosedale
246617,-79.4395030243,43.7487858918,North York,York Centre
392488,-79.3331743388,43.7668512104,North York,Don Valley East
414226,-79.283163351,43.7502333965,Scarborough,Scarborough Centre
471502,-79.2157045865,43.7689260669,Scarborough,Scarborough-Guildwood
110503,-79.4423405922,43.6446515745,former Toronto,Parkdale-High Park
257030,-79.3818585146,43.7227321589,North York,Don Valley West
320460,-79.3637322048,43.7007751437,East York,Don Valley West
27020,-79.5941275673,43.700348463,Etobicoke,Etobicoke North
315157,-79.3552055958,43.688016683,East York,Toronto-Danforth
429036,-79.2961863382,43.7810845583,Scarborough,Scarborough-Agincourt
129840,-79.439218665,43.6790901995,former Toronto,Davenport
313034,-79.3543737795,43.6822562609,former Toronto,Toronto-Danforth
388725,-79.3594060143,43.7679518277,North York,Don Valley North
253039,-79.4155588618,43.7322826155,former Toronto,Eglinton-Lawrence
520919,-79.481080848,43.656901097,former Toronto,Parkdale-High Park
201235,-79.519613998,43.749546328,North York,Humber River-Black Creek
513359,-79.430662291,43.635411812,former Toronto,Parkdale-High Park
312529,-79.370446822,43.6824325802,former Toronto,University-Rosedale
228278,-79.4945653773,43.7535394437,North York,Humber River-Black Creek
436598,-79.3765854656,43.8009690841,North York,Don Valley North
146303,-79.3969500945,43.6514347605,former Toronto,Spadina-Fort York
73917,-79.4756416755,43.6657373112,former Toronto,Parkdale-High Park
32590,-79.5376698973,43.6987237973,Etobicoke,Etobicoke Centre
34210,-79.5586562518,43.7140461333,Etobicoke,Etobicoke North
86120,-79.5052613022,43.693504526,York,York South-Weston
346356,-79.2905479694,43.6700962128,former Toronto,Beaches-East York
