,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC
26347,Boston,42.349373,-71.03022,16.941328,0,POINT (-71.03022 42.349373),54434,Industrial
50446,Boston,42.385773,-71.074127,11.454266,0,POINT (-71.074127 42.385773),54848,Industrial
91968,Boston,42.251362,-71.130516,20.501575,0,POINT (-71.130516 42.251362),54408,Industrial
4803,Boston,42.306149,-71.0578,24.626806,0,POINT (-71.0578 42.306149),55738,Industrial
49266,Boston,42.383823,-71.070747,14.770267,0,POINT (-71.070747 42.383823),54846,Industrial
41194,Boston,42.372772,-71.068497,15.205769,0,POINT (-71.06849699999999 42.372772),54818,Industrial
22435,Boston,42.343849,-71.060806,15.14926,0,POINT (-71.060806 42.343849),55422,Industrial
82256,Boston,42.235439,-71.135582,19.963167,0,POINT (-71.135582 42.235439),54377,Industrial
22834,Boston,42.344498,-71.034912,19.378233,0,POINT (-71.03491200000001 42.344498),55417,Industrial
5299,Boston,42.308098,-71.07243299999998,15.268856,0,POINT (-71.07243299999998 42.308098),55623,Industrial
22868,Boston,42.344498,-71.05967700000002,19.447443,0,POINT (-71.05967700000002 42.344498),55422,Industrial
31498,Boston,42.357174,-71.154808,14.127417,0,POINT (-71.154808 42.357174),55301,Industrial
27574,Boston,42.350998,-71.051796,23.027306,0,POINT (-71.051796 42.350998),55424,Industrial
20755,Boston,42.341248,-71.06192800000002,13.756139,0,POINT (-71.06192800000002 42.341248),55419,Industrial
23928,Boston,42.346123,-71.03546899999998,17.217737,0,POINT (-71.03546899999998 42.346123),55417,Industrial
5303,Boston,42.308098,-71.074692,19.190323,0,POINT (-71.074692 42.308098),55520,Industrial
12927,Boston,42.327923,-71.098518,16.567104,0,POINT (-71.098518 42.327923),55071,Industrial
24685,Boston,42.347099,-71.044289,20.182428,0,POINT (-71.04428900000001 42.347099),54196,Industrial
5050,Boston,42.307125,-71.072624,17.858048999999994,0,POINT (-71.072624 42.307125),55623,Industrial
25413,Boston,42.348076,-71.050484,15.010363,0,POINT (-71.050484 42.348076),55422,Industrial
5436,Boston,42.308735,-71.10509499999998,21.1577,0,POINT (-71.10509499999998 42.308735),55787,Industrial
15329,Boston,42.332474,-71.075249,21.607374,0,POINT (-71.075249 42.332474),54519,Industrial
48355,Boston,42.382523,-71.072624,19.402039,0,POINT (-71.072624 42.382523),54825,Industrial
30544,Boston,42.355549,-71.139984,15.185571,0,POINT (-71.139984 42.355549),55323,Industrial
51404,Boston,42.387398,-71.07431,18.922972,0,POINT (-71.07431 42.387398),54848,Industrial
27557,Boston,42.350998,-71.030403,12.152549,0,POINT (-71.03040300000001 42.350998),54434,Industrial
18116,Boston,42.337025,-71.05573299999998,16.916885,0,POINT (-71.05573299999998 42.337025),55405,Industrial
48807,Boston,42.383175,-71.021957,18.385185,0,POINT (-71.021957 42.383175),55454,Industrial
29517,Boston,42.353924,-71.05011,20.902565,0,POINT (-71.05011 42.353924),54845,Industrial
48832,Boston,42.383175,-71.073753,20.917019,0,POINT (-71.073753 42.383175),54825,Industrial
