,city,latitude,longitude,q-score,safety,Coordinates,OBJECTID,SUBDISTRIC,index_outof_20000
7268,Boston,42.325974,-71.076378,23.852739,0,POINT (-71.07637800000001 42.325974),55544,Residential,7268
18532,Boston,42.379601,-71.02703100000002,27.111301,1,POINT (-71.02703100000002 42.379601),55484,Business,18532
19971,Boston,42.314598,-71.043915,23.007141,0,POINT (-71.043915 42.314598),55726,Comm/Instit,19971
8074,Boston,42.374725,-71.059113,24.485905,0,POINT (-71.059113 42.374725),54791,Residential,8074
6845,Boston,42.270863,-71.14627800000002,24.097033,0,POINT (-71.14627800000002 42.270863),54441,Residential,6845
15002,Boston,42.237713,-71.13239300000002,22.768515,0,POINT (-71.13239300000002 42.237713),54403,Industrial,15002
9488,Boston,42.359776000000004,-71.143555,22.087173,0,POINT (-71.14355500000001 42.359776),55339,Residential,9488
10532,Boston,42.310375,-71.047859,25.569254,1,POINT (-71.047859 42.310375),55745,Open Space,10532
2635,Boston,42.317524,-71.062866,33.179119,1,POINT (-71.062866 42.317524),55570,Residential,2635
18565,Boston,42.339622,-71.05611400000002,25.417543,1,POINT (-71.05611400000002 42.339622),55425,Business,18565
8069,Boston,42.337672999999995,-71.045982,24.327045000000002,0,POINT (-71.045982 42.337673),54597,Residential,8069
6185,Boston,42.30225,-71.06343100000002,24.536989000000002,0,POINT (-71.06343100000002 42.30225),55654,Residential,6185
16179,Boston,42.331497,-71.07243299999998,22.270309,0,POINT (-71.07243299999998 42.331497),54519,Industrial,16179
9609,Boston,42.299973,-71.074875,18.914877,0,POINT (-71.07487500000001 42.299973),55664,Residential,9609
19349,Boston,42.286465,-71.129387,18.721096,0,POINT (-71.12938699999999 42.286465),54284,Business,19349
7325,Boston,42.318172,-71.072624,24.547773,0,POINT (-71.072624 42.318172),55517,Residential,7325
11526,Boston,42.301598,-71.088196,27.0812,1,POINT (-71.088196 42.301598),54676,Open Space,11526
14760,Boston,42.343201,-71.058929,24.196623000000002,0,POINT (-71.05892900000001 42.343201),55422,Industrial,14760
9077,Boston,42.321751,-71.07356300000002,24.307865,0,POINT (-71.07356300000002 42.321751),55517,Residential,9077
11315,Boston,42.287437,-71.13633,26.401676000000002,1,POINT (-71.13633 42.287437),54281,Open Space,11315
1612,Boston,42.248764,-71.13239300000002,28.612225,1,POINT (-71.13239300000002 42.248764),54344,Residential,1612
17923,Boston,42.359123,-71.057991,17.39098,0,POINT (-71.057991 42.359123),55088,Mixed Use,17923
